00020000,FileMetaInformationGroupLength,UL,1,File Meta Information Group Length
00020001,FileMetaInformationVersion,OB,1,File Meta Information Version
00020002,MediaStorageSOPClassUID,UI,1,Media Storage SOP Class UID
00020003,MediaStorageSOPInstanceUID,UI,1,Media Storage SOP Instance UID
00020010,TransferSyntaxUID,UI,1,Transfer Syntax UID
00020012,ImplementationClassUID,UI,1,Implementation Class UID
00020013,ImplementationVersionName,SH,1,Implementation Version Name
00020016,SourceApplicationEntityTitle,AE,1,Source Application Entity Title
00020017,SendingApplicationEntityTitle,AE,1,Sending Application Entity Title
00020018,ReceivingApplicationEntityTitle,AE,1,Receiving Application Entity Title
00020100,PrivateInformationCreatorUID,UI,1,Private Information Creator UID
00020102,PrivateInformation,OB,1,Private Information
00041130,FileSetID,CS,1,File-set ID
00041141,FileSetDescriptorFileID,CS,1-8,File-set Descriptor File ID
00041142,SpecificCharacterSetOfFileSetDescriptorFile,CS,1,Specific Character Set of File-set Descriptor File
00041200,OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity,UL,1,Offset of the First Directory Record of the Root Directory Entity
00041202,OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity,UL,1,Offset of the Last Directory Record of the Root Directory Entity
00041212,FileSetConsistencyFlag,US,1,File-set Consistency Flag
00041220,DirectoryRecordSequence,SQ,1,Directory Record Sequence
00041400,OffsetOfTheNextDirectoryRecord,UL,1,Offset of the Next Directory Record
00041410,RecordInUseFlag,US,1,Record In-use Flag
00041420,OffsetOfReferencedLowerLevelDirectoryEntity,UL,1,Offset of Referenced Lower-Level Directory Entity
00041430,DirectoryRecordType,CS,1,Directory Record Type
00041432,PrivateRecordUID,UI,1,Private Record UID
00041500,ReferencedFileID,CS,1-8,Referenced File ID
00041504,MRDRDirectoryRecordOffset,UL,1,MRDR Directory Record Offset
00041510,ReferencedSOPClassUIDInFile,UI,1,Referenced SOP Class UID in File
00041511,ReferencedSOPInstanceUIDInFile,UI,1,Referenced SOP Instance UID in File
00041512,ReferencedTransferSyntaxUIDInFile,UI,1,Referenced Transfer Syntax UID in File
0004151A,ReferencedRelatedGeneralSOPClassUIDInFile,UI,1-n,Referenced Related General SOP Class UID in File
00041600,NumberOfReferences,UL,1,Number of References
00080001,LengthToEnd,UL,1,Length to End
00080005,SpecificCharacterSet,CS,1-n,Specific Character Set
00080006,LanguageCodeSequence,SQ,1,Language Code Sequence
00080008,ImageType,CS,2-n,Image Type
00080010,RecognitionCode,SH,1,Recognition Code
00080012,InstanceCreationDate,DA,1,Instance Creation Date
00080013,InstanceCreationTime,TM,1,Instance Creation Time
00080014,InstanceCreatorUID,UI,1,Instance Creator UID
00080015,InstanceCoercionDateTime,DT,1,Instance Coercion DateTime
00080016,SOPClassUID,UI,1,SOP Class UID
00080018,SOPInstanceUID,UI,1,SOP Instance UID
0008001A,RelatedGeneralSOPClassUID,UI,1-n,Related General SOP Class UID
0008001B,OriginalSpecializedSOPClassUID,UI,1,Original Specialized SOP Class UID
00080020,StudyDate,DA,1,Study Date
00080021,SeriesDate,DA,1,Series Date
00080022,AcquisitionDate,DA,1,Acquisition Date
00080023,ContentDate,DA,1,Content Date
00080024,OverlayDate,DA,1,Overlay Date
00080025,CurveDate,DA,1,Curve Date
0008002A,AcquisitionDateTime,DT,1,Acquisition DateTime
00080030,StudyTime,TM,1,Study Time
00080031,SeriesTime,TM,1,Series Time
00080032,AcquisitionTime,TM,1,Acquisition Time
00080033,ContentTime,TM,1,Content Time
00080034,OverlayTime,TM,1,Overlay Time
00080035,CurveTime,TM,1,Curve Time
00080040,DataSetType,US,1,Data Set Type
00080041,DataSetSubtype,LO,1,Data Set Subtype
00080042,NuclearMedicineSeriesType,CS,1,Nuclear Medicine Series Type
00080050,AccessionNumber,SH,1,Accession Number
00080051,IssuerOfAccessionNumberSequence,SQ,1,Issuer of Accession Number Sequence
00080052,QueryRetrieveLevel,CS,1,Query/Retrieve Level
00080053,QueryRetrieveView,CS,1,Query/Retrieve View
00080054,RetrieveAETitle,AE,1-n,Retrieve AE Title
00080056,InstanceAvailability,CS,1,Instance Availability
00080058,FailedSOPInstanceUIDList,UI,1-n,Failed SOP Instance UID List
